iteration,test_accuracy
0,0.8728333333333333
1,0.8095
2,0.7458333333333333
3,0.687
4,0.6445
5,0.6126666666666667
6,0.5943333333333334
7,0.569
8,0.5538333333333333
9,0.5521666666666667
10,0.5416666666666666
11,0.5438333333333333
12,0.5373333333333333
13,0.5258333333333334
14,0.5258333333333334
15,0.5311666666666667
16,0.5325
17,0.5266666666666666
18,0.5186666666666667
19,0.5116666666666667
20,0.5118333333333334
