iteration,test_accuracy
0,0.9459665144596652
1,0.5731666666666667
2,0.5546666666666666
3,0.5458333333333333
4,0.5355
5,0.5301666666666667
6,0.5225
7,0.5183333333333333
8,0.5178333333333334
9,0.517
10,0.5141666666666667
11,0.5131666666666667
12,0.5098333333333334
13,0.5106666666666667
14,0.5085
15,0.508
16,0.5081666666666667
17,0.5108333333333334
18,0.511
19,0.5078333333333334
20,0.5133333333333333
